"source_path","target_path","classification","action","changed_content","reason","source_sha256","target_sha256","validation_status"
"C:\repository-acquisition-framework\apps","C:\content-management-system\apps","product-runtime","COPIED_AND_ADAPTED","yes","CMS operator console copied; product-facing branding adapted.","ed02b31ceaf575da8783e5b0629741f22c2cba5d4a7904c6d74ff2f1e68310d6","e59bbf1cb37212774c2b796b88a18e84ac3de859b7da5d66ba90d89900d52f8a","PASS"
"C:\repository-acquisition-framework\packages","C:\content-management-system\packages","product-runtime","COPIED_UNCHANGED","no","Shared technical packages and local-runtime compatibility packages preserved.","2690a4ee5c4c717878244ec0893b8f7891a22736f1f43a88a6a43c1b67e08069","2690a4ee5c4c717878244ec0893b8f7891a22736f1f43a88a6a43c1b67e08069","PASS"
"C:\repository-acquisition-framework\services","C:\content-management-system\services","product-runtime","COPIED_UNCHANGED","no","Accepted service boundaries and business logic preserved.","127aff4c7ff666e10cfbb15996b89886a8404297b8ac4973f435c7404d964f20","127aff4c7ff666e10cfbb15996b89886a8404297b8ac4973f435c7404d964f20","PASS"
"C:\repository-acquisition-framework\prisma","C:\content-management-system\prisma","local-persistence","COPIED_UNCHANGED","no","SQLite/Prisma schema and migration preserved.","a0028d151ac3efaa4ff99baabb45b9bc356f3c25e14fbdddd80aadd3106851d5","a0028d151ac3efaa4ff99baabb45b9bc356f3c25e14fbdddd80aadd3106851d5","PASS"
"C:\repository-acquisition-framework\scripts","C:\content-management-system\scripts","product-tooling","COPIED_UNCHANGED","no","Setup, doctor, backup, restore, validation scripts preserved.","7b2ce112f6e05af0b16d2af6f67ab0475691187d96a205f10db6d1379af12ac4","7b2ce112f6e05af0b16d2af6f67ab0475691187d96a205f10db6d1379af12ac4","PASS"
"C:\repository-acquisition-framework\tests","C:\content-management-system\tests","product-validation","COPIED_UNCHANGED","no","Product regression and local tool tests preserved.","676bead4951f9fcfb3c09bb3f0208ff738278fc4171722d2fc721c63be67c535","676bead4951f9fcfb3c09bb3f0208ff738278fc4171722d2fc721c63be67c535","PASS"
"C:\repository-acquisition-framework\build","C:\content-management-system\build","historical-evidence","COPIED_UNCHANGED","no","Accepted build execution evidence preserved.","93e0db20dc36f8382e86449d846445adad16c9406c8c3878e8d8cdb3a55461ba","93e0db20dc36f8382e86449d846445adad16c9406c8c3878e8d8cdb3a55461ba","PASS"
"C:\repository-acquisition-framework\release","C:\content-management-system\release","historical-evidence","COPIED_UNCHANGED","no","Accepted release artifacts preserved.","228b08dbe10075c93bdc36ef8d23b189ef04181e6ff9cd9e0f137b8b1cb10d91","228b08dbe10075c93bdc36ef8d23b189ef04181e6ff9cd9e0f137b8b1cb10d91","PASS"
"C:\repository-acquisition-framework\docs\build-execution","C:\content-management-system\docs\build-execution","historical-evidence","COPIED_UNCHANGED","no","Build execution docs preserved.","914a3edad6e9e01afb520e32918a2d8358058e99c57875e33905e21a5d2889d8","914a3edad6e9e01afb520e32918a2d8358058e99c57875e33905e21a5d2889d8","PASS"
"C:\repository-acquisition-framework\docs\canonical","C:\content-management-system\docs\canonical","historical-evidence","COPIED_UNCHANGED","no","Canonical reference docs preserved.","b66d317d6ba9e04c47e6baabf37cc6efe716f78c585bc42f2b34458f37ed30e9","b66d317d6ba9e04c47e6baabf37cc6efe716f78c585bc42f2b34458f37ed30e9","PASS"
"C:\repository-acquisition-framework\docs\local-tool","C:\content-management-system\docs\local-tool","local-tool-evidence","COPIED_UNCHANGED","no","Local tool reports and traceability preserved.","94d2288b0e1c9666f2e5f91e250023a2b124d420823718b9d806a7aa47a163a3","94d2288b0e1c9666f2e5f91e250023a2b124d420823718b9d806a7aa47a163a3","PASS"
"C:\repository-acquisition-framework\README.md","C:\content-management-system\README.md","product-documentation","COPIED_AND_ADAPTED","yes","Root README generalized to CMS.","6509ce3538c36925aae2f0ca6af5041625785c59d0cb702c0182c57567842110","3d255312d4b48b9b500f7b94f4e0ca6e81fbf96cc3a972e25f072ee9cb4b774e","PASS"
"C:\repository-acquisition-framework\package.json","C:\content-management-system\package.json","product-manifest","COPIED_AND_ADAPTED","yes","Root package renamed to content-management-system.","db96528d11d0674638f302df4a480fa04df257a044616deb534fef538fcb8fd0","23061d94527033a938c32af90234b00d44edc183d1078a0debdaf13c3b73809f","PASS"
"C:\repository-acquisition-framework\projects\football-troll-vault","C:\content-management-system\projects\football-troll-vault","project-profile","PROJECT_PROFILE_EXTRACTED","yes","FTV-specific identity preserved as CMS project profile.","","71643fc02be4c0e140f74eab9cf6307cf0530d10a9ca6e9298c5fee979022b52","PASS"
"C:\repository-acquisition-framework\.ftv-local","C:\cms-local-data (planned)","machine-local-data","LOCAL_DATA_EXTERNALIZED","yes","SQLite/media/backups/config/logs are not source; migration plan points to external local data.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","","PASS"
"C:\repository-acquisition-framework\docs\volume-*","","raf-framework","RAF_EXCLUDED","no","Generic RAF framework volumes excluded from CMS core.","","","PASS"
"C:\repository-acquisition-framework\targets\TKIC","","separate-system","RAF_EXCLUDED","no","TKIC remains separate Decision / Intelligence Layer.","54cccee354d134357886f055e1ab252545b989afa864f49e4620cfafc256cef3","","PASS"
"C:\repository-acquisition-framework\tkic-core*","","separate-system-artifact","RAF_EXCLUDED","no","TKIC archives/directories not copied into CMS core.","","","PASS"
"C:\repository-acquisition-framework\reviews","","raf-review-output","UNRESOLVED","no","Review reports need operator classification before inclusion/exclusion.","a74d61ece9cc85160bc34ada5fc869aec1daeee9ff2e2b02f1594864474b477f","","UNRESOLVED"
